,datetime,candidate,votes,state,district,type
389,2020-11-24 23:11:14+00:00,Trump,1462,California,,
390,2020-11-24 20:10:16+00:00,Biden,6247,California,,
391,2020-11-24 20:10:16+00:00,Trump,4096,California,,
392,2020-11-24 13:08:21+00:00,Biden,12263,California,,
393,2020-11-24 13:08:21+00:00,Trump,12363,California,,
394,2020-11-23 17:44:22+00:00,Biden,328,California,,
395,2020-11-23 17:44:22+00:00,Trump,358,California,,
396,2020-11-23 02:43:14+00:00,Biden,169,California,,
397,2020-11-23 02:43:14+00:00,Trump,203,California,,
398,2020-11-22 02:44:16+00:00,Biden,3133,California,,
399,2020-11-22 02:44:16+00:00,Trump,3012,California,,
400,2020-11-21 20:43:30+00:00,Biden,15,California,,
401,2020-11-21 20:43:30+00:00,Trump,9,California,,
402,2020-11-21 05:42:39+00:00,Biden,308,California,,
403,2020-11-21 05:42:39+00:00,Trump,190,California,,
404,2020-11-21 02:42:40+00:00,Biden,37713,California,,
405,2020-11-21 02:42:40+00:00,Trump,29036,California,,
406,2020-11-21 00:47:35+00:00,Biden,18684,California,,
407,2020-11-21 00:47:35+00:00,Trump,9578,California,,
408,2020-11-20 23:42:58+00:00,Biden,2371,California,,
409,2020-11-20 23:42:58+00:00,Trump,2182,California,,
410,2020-11-20 21:35:12+00:00,Biden,3,California,,
411,2020-11-20 21:35:12+00:00,Trump,10,California,,
412,2020-11-20 05:43:38+00:00,Biden,178,California,,
413,2020-11-20 05:43:38+00:00,Trump,91,California,,
414,2020-11-20 02:45:26+00:00,Biden,7035,California,,
415,2020-11-20 02:45:26+00:00,Trump,6360,California,,
416,2020-11-19 23:43:44+00:00,Biden,3,California,,
417,2020-11-19 23:43:44+00:00,Trump,16,California,,
418,2020-11-19 20:43:22+00:00,Biden,1,California,,
419,2020-11-19 20:43:22+00:00,Trump,1,California,,
420,2020-11-19 05:43:50+00:00,Biden,180,California,,
421,2020-11-19 05:43:50+00:00,Trump,131,California,,
422,2020-11-19 02:44:09+00:00,Biden,14225,California,,
423,2020-11-19 02:44:09+00:00,Trump,10421,California,,
424,2020-11-18 23:44:09+00:00,Biden,2242,California,,
425,2020-11-18 23:44:09+00:00,Trump,2096,California,,
426,2020-11-18 20:42:43+00:00,Biden,272,California,,
427,2020-11-18 20:42:43+00:00,Trump,200,California,,
428,2020-11-18 05:42:23+00:00,Biden,4778,California,,
429,2020-11-18 05:42:23+00:00,Trump,5560,California,,
430,2020-11-18 04:11:44+00:00,Biden,10478,California,,
431,2020-11-18 04:11:44+00:00,Trump,6494,California,,
